"Comment","Designator","Footprint","LCSC Part #"
"100n","C1","hellen-one-common:C0603","C14663"
"B5819W","D2","hellen-one-common:SOD-123","C8598"
"B5819W","D3","hellen-one-common:SOD-123","C8598"
"B5819W","D4","hellen-one-common:SOD-123","C8598"
"B5819W","D5","hellen-one-common:SOD-123","C8598"
"PSM712-LF","D6","hellen-one-common:SOT-23","C32677"
"PSM712-LF","D7","hellen-one-common:SOT-23","C32677"
"12H1500D","F1","hellen-one-common:PAD-1206-PAD","C182446"
"12H1500D","F2","hellen-one-common:PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G3","kicad6-libraries:rusefi_logo",""
"LOGO","G4","hellen-one-common:LOGO",""
"MountingHole_Pad","H1","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"MountingHole_Pad","H2","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"Conn_01x06","J3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C37208"
"1-776087-1","J4","17760871",""
"Conn_01x06","J6","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C37208"
"MUSBD111M0","J7","usbb:CONN4_BD111M0_AMP",""
"USB_B_Mini","J8","hellen-one-common:USB-MINI-B-VERTICAL",""
"USB_C_Receptacle_USB2.0","J9","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"Jumper_2_Bridged","JP1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Jumper_2_Bridged","JP2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Jumper_2_Bridged","JP3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Module-power_12and5V-0.2","M1","hellen-one-power_12and5V-0.2:power_12and5V",""
"Module-knock-0.2","M2","hellen-one-knock-0.2:knock",""
"Module-vr-discrete-0.4","M3","hellen-one-vr-discrete-0.4:vr-discrete",""
"Module-vr-max9924-0.1","M4","hellen-one-vr-max9924-0.1:vr-max9924",""
"Module-wbo-0.5","M5","hellen-one-wbo-0.5:wbo",""
"Module:mega-mcu100/0.2","M6","hellen-one-mega-mcu100-0.2:mega-mcu100",""
"Module-wbo-0.5","M7","hellen-one-wbo-0.5:wbo",""
"Pad","P1","hellen-one-common:PAD-TH",""
"Pad","P2","hellen-one-common:PAD-TH",""
"Pad","P3","hellen-one-common:PAD-TH",""
"Pad","P4","hellen-one-common:PAD-TH",""
"ISL9V3040D3S","Q1","Package_TO_SOT_SMD:TO-252-2",""
"ISL9V3040D3S","Q2","Package_TO_SOT_SMD:TO-252-2",""
"ISL9V3040D3S","Q3","Package_TO_SOT_SMD:TO-252-2",""
"ISL9V3040D3S","Q4","Package_TO_SOT_SMD:TO-252-2",""
"ZXMS6005SGTA","Q7","Package_TO_SOT_SMD:SOT-223","C174042"
"ZXMS6005SGTA","Q8","Package_TO_SOT_SMD:SOT-223","C174042"
"ZXMS6005SGTA","Q9","Package_TO_SOT_SMD:SOT-223","C174042"
"ZXMS6005SGTA","Q10","Package_TO_SOT_SMD:SOT-223","C174042"
"AO3400A","Q11","hellen-one-common:SOT-23"," C20917"
"AO3400A","Q12","hellen-one-common:SOT-23"," C20917"
"ZXMS6005SGTA","Q13","Package_TO_SOT_SMD:SOT-223","C174042"
"ZXMS6005SGTA","Q14","Package_TO_SOT_SMD:SOT-223","C174042"
"ZXMS6005SGTA","Q15","Package_TO_SOT_SMD:SOT-223","C174042"
"ZXMS6005SGTA","Q16","Package_TO_SOT_SMD:SOT-223","C174042"
"4.7k","R1","hellen-one-common:R0603",""
"33k","R2","hellen-one-common:R0603","C4216"
"6.8k","R3","hellen-one-common:R0603","C23212"
"Jumper-Pad-Pad","R4","hellen-one-common:PAD-0805-PAD","C17477"
"0","R5","hellen-one-common:R0603",""
"0","R6","hellen-one-common:R0603","C21189"
"5.6k","R7","hellen-one-common:R0603","C23189"
"5.6k","R8","hellen-one-common:R0603","C23189"
"22","R9","hellen-one-common:R0603","C23345"
"22","R10","hellen-one-common:R0603","C23345"
"22","R11","hellen-one-common:R0603","C23345"
"0","R12","Resistor_SMD:R_2512_6332Metric","C25469"
"0","R13","Resistor_SMD:R_2512_6332Metric","C25469"
"0","R14","Resistor_SMD:R_2512_6332Metric","C25469"
"22","R15","hellen-one-common:R0603","C23345"
"470k","R16","hellen-one-common:R0603","C23162"
"0","R18","Resistor_SMD:R_2512_6332Metric","C25469"
"4.7k","R21","hellen-one-common:R0603","C23162"
"4.7k","R22","hellen-one-common:R0603","C23162"
"4.7k","R23","hellen-one-common:R0603","C23162"
"4.7k","R24","hellen-one-common:R0603","C23162"
"4.7k","R25","hellen-one-common:R0603","C23162"
"4.7k","R26","hellen-one-common:R0603","C23162"
"4.7k","R29","hellen-one-common:R0603","C23162"
"4.7k","R30","hellen-one-common:R0603","C23162"
"4.7k","R31","hellen-one-common:R0603","C23162"
"4.7k","R32","hellen-one-common:R0603","C23162"
"~","text1","Customparts:trollfaceVFR",""
"~","U1","Customparts:VFRboardempty",""
"JDY-33","U2","kicad6-libraries:JDY-33",""
